# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Nov 03 16:56:31 CET 2020 [seed=1604418990202]
# TreeTime_26102020.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.NY.other	location.rates.other.NY	location.indicators.NY.other	location.indicators.other.NY	location.nonZeroRates	location.branchRates	location.treeLikelihood
24000	-1808.23065143441	-277.1283170054703	-1531.1023344289397	2.284270175620247	2.2842701756202417	1.2539382959378524	0.2891590510031057	1.0	1.0	2.0	0.0	-1531.1023344289397
25000	-1807.3927761161642	-285.367568845143	-1522.0252072710211	2.3585777990976418	2.3585777990976564	0.6525635625892532	0.15814812278746238	1.0	1.0	2.0	0.0	-1522.0252072710211
26000	-1808.8836601439643	-270.51952347397486	-1538.3641366699894	2.209522795014833	2.2095227950148195	3.157040980799807	0.8025292075197115	1.0	1.0	2.0	0.0	-1538.3641366699894
27000	-1807.2694645578354	-247.8760229986193	-1559.393441559216	2.0453590987044037	2.0453590987044	0.888547130847358	0.25130208997631226	1.0	1.0	2.0	0.0	-1559.393441559216
28000	-1807.9945805208804	-280.50691966732865	-1527.4876608535517	2.3121873505943835	2.3121873505943973	1.2137883019207236	0.3372312965655913	1.0	1.0	2.0	0.0	-1527.4876608535517
29000	-1805.2447323658682	-250.02618387643747	-1555.2185484894308	2.0720205982978688	2.0720205982978674	0.05483816330938312	0.015425072866449745	1.0	1.0	2.0	0.0	-1555.2185484894308
30000	-1807.5907230949006	-259.32347648491253	-1548.267246609988	2.141684758195439	2.1416847581954306	0.7283040943671272	0.22672112188611834	1.0	1.0	2.0	0.0	-1548.267246609988
31000	-1809.017388424084	-263.2413397898842	-1545.7760486341997	2.159631264054732	2.159631264054743	2.077501728291863	0.6282830527444471	1.0	1.0	2.0	0.0	-1545.7760486341997
32000	-1808.7843877161167	-263.10957370827794	-1545.6748140078387	2.1620235431977117	2.162023543197713	1.773946002510254	0.5111991921147201	1.0	1.0	2.0	0.0	-1545.6748140078387
33000	-1807.6321365617468	-282.5235577341064	-1525.1085788276405	2.3337164349522617	2.3337164349522577	0.7702043733644992	0.19811182522007298	1.0	1.0	2.0	0.0	-1525.1085788276405
34000	-1805.5016603242566	-258.87375001682017	-1546.6279103074364	2.141076017275399	2.141076017275415	0.4525831661765403	0.1262238027116952	1.0	1.0	2.0	0.0	-1546.6279103074364
35000	-1806.5661924369417	-251.5446344119127	-1555.021558025029	2.0767973297834885	2.0767973297835036	0.8278492213501103	0.18401659931247275	1.0	1.0	2.0	0.0	-1555.021558025029
36000	-1806.642226818376	-243.8043432074176	-1562.8378836109584	2.010826352895552	2.010826352895557	0.9774068090904968	0.2611985516588773	1.0	1.0	2.0	0.0	-1562.8378836109584
37000	-1808.2625520504946	-258.3706234065237	-1549.891928643971	2.117384639228116	2.1173846392281046	2.266390644830873	0.6701624431212648	1.0	1.0	2.0	0.0	-1549.891928643971
38000	-1808.4742203520254	-245.06276227532638	-1563.411458076699	2.0056986787834385	2.005698678783444	2.4818927545111165	0.6344008892460066	1.0	1.0	2.0	0.0	-1563.411458076699
39000	-1806.8994151460456	-266.79386817805937	-1540.1055469679861	2.1954675284511898	2.195467528451189	1.5426747797888574	0.38838609894892223	1.0	1.0	2.0	0.0	-1540.1055469679861
40000	-1810.1119729061159	-274.21120673628315	-1535.9007661698327	2.257545507366809	2.257545507366818	1.4060073032950895	0.4467485478432362	1.0	1.0	2.0	0.0	-1535.9007661698327
41000	-1807.9729331683068	-238.03080567031657	-1569.9421274979902	1.970063619638723	1.9700636196387378	0.31994353503581713	0.06813088332214574	1.0	1.0	2.0	0.0	-1569.9421274979902
42000	-1806.9357716409543	-272.13121728088396	-1534.8045543600704	2.2442909213992897	2.2442909213992968	1.1091469512902208	0.2640200796998385	1.0	1.0	2.0	0.0	-1534.8045543600704
43000	-1805.7477041985549	-261.87027797471717	-1543.8774262238378	2.165460663697495	2.1654606636975067	0.4958269478928904	0.13498295336471103	1.0	1.0	2.0	0.0	-1543.8774262238378
44000	-1805.6234159654505	-266.06240268454854	-1539.561013280902	2.2000300132127983	2.2000300132128014	0.5208017739477124	0.12788025353280327	1.0	1.0	2.0	0.0	-1539.561013280902
45000	-1808.0295755411257	-277.7561768740569	-1530.2733986670687	2.2826400109689886	2.2826400109689904	1.9087968105329574	0.45898648061551917	1.0	1.0	2.0	0.0	-1530.2733986670687
46000	-1810.8364900556767	-272.80448401875657	-1538.0320060369202	2.210803799428379	2.210803799428377	4.867037558167945	1.222815403849011	1.0	1.0	2.0	0.0	-1538.0320060369202
47000	-1806.1738662741695	-248.84491372256377	-1557.3289525516057	2.059211441788112	2.0592114417881304	0.337128962020315	0.09873744325239847	1.0	1.0	2.0	0.0	-1557.3289525516057
48000	-1808.337745708473	-281.68002409348753	-1526.6577216149853	2.316128223127675	2.3161282231276803	1.803801317350729	0.444513216652357	1.0	1.0	2.0	0.0	-1526.6577216149853
49000	-1807.8868805643713	-267.68161624365206	-1540.2052643207192	2.1919475201955607	2.1919475201955776	2.570984751486363	0.6728615133197532	1.0	1.0	2.0	0.0	-1540.2052643207192
50000	-1807.0616665444356	-276.3034123568503	-1530.7582541875854	2.276628961856522	2.2766289618565225	1.3094523131431774	0.3313427211712683	1.0	1.0	2.0	0.0	-1530.7582541875854
51000	-1810.9270916170462	-235.21063353461793	-1575.7164580824283	1.916568301824724	1.9165683018247304	3.139192653801639	0.8897852754328235	1.0	1.0	2.0	0.0	-1575.7164580824283
52000	-1806.215404610971	-246.77470500645796	-1559.4406996045132	2.0388311849497676	2.03883118494978	0.6648696227410046	0.16201083982775322	1.0	1.0	2.0	0.0	-1559.4406996045132
53000	-1807.123314627054	-255.06711022198783	-1552.0562044050662	2.095917252626812	2.095917252626817	1.7901879520136261	0.43521870465107276	1.0	1.0	2.0	0.0	-1552.0562044050662
54000	-1811.963430455041	-246.79908159851684	-1565.1643488565242	2.014654612655794	2.014654612655805	2.8261566698749854	0.9448502620970572	1.0	1.0	2.0	0.0	-1565.1643488565242
55000	-1808.433846620965	-255.4601047594934	-1552.9737418614716	2.096980870432548	2.096980870432545	2.0398204433770415	0.4501387651015168	1.0	1.0	2.0	0.0	-1552.9737418614716
56000	-1807.0186848667686	-259.0960563412274	-1547.9226285255413	2.1300174949743855	2.1300174949743935	1.6844766195098162	0.452010342140982	1.0	1.0	2.0	0.0	-1547.9226285255413
57000	-1809.0053316831068	-270.51808537445686	-1538.48724630865	2.2296996374841234	2.2296996374841265	1.254010660422643	0.2678424128471011	1.0	1.0	2.0	0.0	-1538.48724630865
58000	-1805.3593818748852	-249.52230197164673	-1555.8370799032384	2.065112177326967	2.0651121773269607	0.3197863977315105	0.08087480959769462	1.0	1.0	2.0	0.0	-1555.8370799032384
59000	-1807.850979531743	-271.67890075070744	-1536.1720787810355	2.2311240828824404	2.23112408288244	1.9628043217220257	0.5478691765453233	1.0	1.0	2.0	0.0	-1536.1720787810355
60000	-1807.6381391382838	-258.47552671613835	-1549.1626124221455	2.118899061417973	2.1188990614179795	2.269321261075946	0.5892579245836125	1.0	1.0	2.0	0.0	-1549.1626124221455
61000	-1808.4490001586958	-243.74330457956725	-1564.7056955791286	2.006718009112506	2.0067180091125016	1.3615791254992207	0.3121520364376433	1.0	1.0	2.0	0.0	-1564.7056955791286
62000	-1806.4408123183887	-266.19036728866564	-1540.250445029723	2.200569693284297	2.2005696932843	0.5738837472063214	0.13759744797998097	1.0	1.0	2.0	0.0	-1540.250445029723
63000	-1812.2786177557598	-227.47140767921337	-1584.8072100765464	1.859791984545754	1.8597919845457624	2.3888624860919645	0.7586656753621652	1.0	1.0	2.0	0.0	-1584.8072100765464
64000	-1808.5708502472971	-264.2940596545946	-1544.2767905927026	2.1640805257091777	2.1640805257091933	2.567510913455033	0.6537350931465231	1.0	1.0	2.0	0.0	-1544.2767905927026
65000	-1805.5636027356788	-263.52881897697347	-1542.0347837587053	2.177126768693535	2.177126768693534	0.7074778216902289	0.17317563383110857	1.0	1.0	2.0	0.0	-1542.0347837587053
66000	-1808.0714214917223	-247.8392366721885	-1560.2321848195338	2.050033022409585	2.0500330224095866	0.4347859876980865	0.10382953895460115	1.0	1.0	2.0	0.0	-1560.2321848195338
67000	-1806.5570199159633	-270.23129457154977	-1536.3257253444135	2.2344184960899236	2.2344184960899236	0.5242760736892341	0.14100742850924672	1.0	1.0	2.0	0.0	-1536.3257253444135
68000	-1808.1159171456493	-271.5268948723297	-1536.5890222733196	2.2234807562632772	2.2234807562632812	2.6176837954087224	0.6638812556414347	1.0	1.0	2.0	0.0	-1536.5890222733196
69000	-1806.4218697114882	-259.18276244841996	-1547.2391072630683	2.1344011539275383	2.1344011539275387	1.3504934207796495	0.34334858994892103	1.0	1.0	2.0	0.0	-1547.2391072630683
70000	-1805.7211195021737	-260.77342028614464	-1544.947699216029	2.151473262390331	2.1514732623903376	0.9722272477555199	0.2507411252036565	1.0	1.0	2.0	0.0	-1544.947699216029
71000	-1808.041722319117	-280.6139844296777	-1527.4277378894394	2.3224663190657857	2.322466319065779	0.34392127222714025	0.07311335798852275	1.0	1.0	2.0	0.0	-1527.4277378894394
72000	-1806.4124502577895	-255.524867147364	-1550.8875831104256	2.10355552262244	2.103555522622452	1.4128279036377986	0.3479446383259244	1.0	1.0	2.0	0.0	-1550.8875831104256
73000	-1806.729360553298	-264.758596810502	-1541.970763742796	2.1867990414253335	2.1867990414253367	0.7399719935198062	0.20253059579877594	1.0	1.0	2.0	0.0	-1541.970763742796
74000	-1806.0976972230378	-248.63002770550392	-1557.467669517534	2.0567564638225524	2.056756463822561	0.41707345021123293	0.1003798654412977	1.0	1.0	2.0	0.0	-1557.467669517534
75000	-1807.637433941318	-241.67389221312374	-1565.9635417281943	1.9892051442621907	1.9892051442622047	1.33535130058492	0.38401873154044786	1.0	1.0	2.0	0.0	-1565.9635417281943
76000	-1808.0702562665456	-250.48324503512322	-1557.5870112314224	2.0523409261387586	2.052340926138764	2.262613050168827	0.6412973251307086	1.0	1.0	2.0	0.0	-1557.5870112314224
77000	-1806.5769467366863	-252.2845178285152	-1554.2924289081711	2.077289855047395	2.077289855047393	1.3374866280349897	0.35478439267046996	1.0	1.0	2.0	0.0	-1554.2924289081711
78000	-1806.7266198054785	-247.29652839751577	-1559.4300914079627	2.0414260256611314	2.0414260256611283	0.8275441777791556	0.20779084797167136	1.0	1.0	2.0	0.0	-1559.4300914079627
79000	-1806.4927163722305	-243.0566954780007	-1563.4360208942298	2.0071803515168627	2.0071803515168547	0.725018563616078	0.2062663281805837	1.0	1.0	2.0	0.0	-1563.4360208942298
80000	-1811.735017409461	-244.93109343811685	-1566.8039239713441	1.9935813823832869	1.993581382383294	3.3579711116436215	1.090072627268277	1.0	1.0	2.0	0.0	-1566.8039239713441
81000	-1811.5544993304602	-294.2946119882494	-1517.2598873422107	2.4067134331695264	2.4067134331695295	3.156535406597145	0.769761538215483	1.0	1.0	2.0	0.0	-1517.2598873422107
82000	-1807.2064535301101	-270.3337912806171	-1536.872662249493	2.2253727246921304	2.2253727246921327	1.4810696214893317	0.37894458136535886	1.0	1.0	2.0	0.0	-1536.872662249493
83000	-1807.5181362015392	-236.46644409766424	-1571.051692103875	1.9544872493906524	1.9544872493906618	0.5716451961790066	0.13331682621666094	1.0	1.0	2.0	0.0	-1571.051692103875
84000	-1808.0360328955044	-239.3630519233046	-1568.6729809721999	1.9737185037367522	1.9737185037367475	1.0374813982239997	0.2414221276570577	1.0	1.0	2.0	0.0	-1568.6729809721999
85000	-1809.138186210593	-259.88944043773137	-1549.2487457728616	2.1292168818359354	2.1292168818359283	2.4766483355805797	0.5499014145002805	1.0	1.0	2.0	0.0	-1549.2487457728616
86000	-1806.7209233294982	-263.5932536736725	-1543.1276696558257	2.169481620582142	2.16948162058214	1.4586550262585851	0.4095931360898161	1.0	1.0	2.0	0.0	-1543.1276696558257
87000	-1808.3186174490702	-267.37019576855096	-1540.9484216805192	2.191521880313938	2.191521880313939	2.3313282140902003	0.6524932340745419	1.0	1.0	2.0	0.0	-1540.9484216805192
88000	-1808.2581268310828	-237.32672811788916	-1570.9313987131936	1.9589309414017986	1.958930941401799	0.8088078781681739	0.21974432040885408	1.0	1.0	2.0	0.0	-1570.9313987131936
89000	-1808.2932286118585	-270.24544957857245	-1538.047779033286	2.2333952936029293	2.2333952936029253	0.6103932609658318	0.19259168316198721	1.0	1.0	2.0	0.0	-1538.047779033286
90000	-1806.383823278849	-267.4923637003627	-1538.8914595784863	2.2053282186568115	2.205328218656821	1.1619298591911102	0.2769653285708254	1.0	1.0	2.0	0.0	-1538.8914595784863
91000	-1810.5394877157241	-268.08311899316544	-1542.4563687225586	2.2085330891271675	2.2085330891271693	1.2142598764398096	0.4284102188171293	1.0	1.0	2.0	0.0	-1542.4563687225586
92000	-1809.2598262739564	-265.61872477595995	-1543.6411014979965	2.1706228025830145	2.170622802583037	2.88793226127149	0.8679876333528386	1.0	1.0	2.0	0.0	-1543.6411014979965
93000	-1808.0992716705034	-255.43588569212852	-1552.663385978375	2.1078574890763115	2.1078574890763053	0.8671524629254325	0.2851396896879245	1.0	1.0	2.0	0.0	-1552.663385978375
94000	-1806.241203718009	-268.2864463500544	-1537.9547573679547	2.2191171127137657	2.2191171127137626	0.46404006034055784	0.1039695156379914	1.0	1.0	2.0	0.0	-1537.9547573679547
95000	-1809.954007812845	-282.45594051139483	-1527.4980673014502	2.3194237805603204	2.319423780560324	2.119027485490553	0.5073085562238407	1.0	1.0	2.0	0.0	-1527.4980673014502
96000	-1807.2693986312588	-260.9924571281729	-1546.276941503086	2.145916338493612	2.145916338493609	1.6835560443472297	0.42946846081277934	1.0	1.0	2.0	0.0	-1546.276941503086
97000	-1807.1416294275673	-261.5815301194242	-1545.560099308143	2.146873749811369	2.1468737498113626	2.068696672262264	0.5177895973994986	1.0	1.0	2.0	0.0	-1545.560099308143
98000	-1805.4316077619087	-261.8539146597641	-1543.5776931021446	2.163172872098934	2.1631728720989294	0.7078741009622594	0.18282801242492794	1.0	1.0	2.0	0.0	-1543.5776931021446
99000	-1807.058857667787	-259.9702164905374	-1547.0886411772497	2.138673386361455	2.1386733863614515	1.5418990018178063	0.42350339065976883	1.0	1.0	2.0	0.0	-1547.0886411772497
100000	-1808.1274908586656	-269.2089450161008	-1538.9185458425648	2.213104881328806	2.213104881328814	1.8130739837271843	0.4033910660109683	1.0	1.0	2.0	0.0	-1538.9185458425648
101000	-1806.671642611646	-259.9603510455652	-1546.7112915660807	2.1402175604658127	2.140217560465808	1.4384817913926287	0.33058881932146145	1.0	1.0	2.0	0.0	-1546.7112915660807
102000	-1807.022917993069	-259.8670644279114	-1547.1558535651577	2.13850119076407	2.138501190764075	1.49558815330239	0.38745562665273275	1.0	1.0	2.0	0.0	-1547.1558535651577
103000	-1807.6086255834205	-251.9783497945215	-1555.6302757888989	2.070050140815422	2.0700501408154253	1.778705580260483	0.48168085910081837	1.0	1.0	2.0	0.0	-1555.6302757888989
104000	-1807.5884972702895	-258.8589217889035	-1548.729575481386	2.1236025252047575	2.123602525204763	2.158214597601125	0.5157847026698074	1.0	1.0	2.0	0.0	-1548.729575481386
105000	-1807.8950070693297	-270.99623698008025	-1536.8987700892494	2.2405786599510145	2.2405786599510176	0.5183583804576909	0.1680616566493817	1.0	1.0	2.0	0.0	-1536.8987700892494
106000	-1809.6745040428366	-279.20149291533545	-1530.4730111275012	2.2901937057942017	2.2901937057942026	2.3996008839869867	0.501467496625771	1.0	1.0	2.0	0.0	-1530.4730111275012
107000	-1808.6739070742096	-278.7164965727744	-1529.957410501435	2.2864370057976164	2.286437005797629	2.303806848780187	0.5658473897928095	1.0	1.0	2.0	0.0	-1529.957410501435
108000	-1806.8141222918819	-254.39054149807558	-1552.4235807938062	2.093789778980658	2.093789778980657	1.4259926366935676	0.37975839889205776	1.0	1.0	2.0	0.0	-1552.4235807938062
109000	-1806.5286060574954	-260.8199956785861	-1545.7086103789093	2.1555181662317855	2.1555181662317784	0.6308172229836738	0.15029141300781684	1.0	1.0	2.0	0.0	-1545.7086103789093
110000	-1807.7819209378702	-266.2163135205993	-1541.565607417271	2.1953088316076887	2.195308831607705	1.1294577103115746	0.24321096137354262	1.0	1.0	2.0	0.0	-1541.565607417271
111000	-1809.8703732002455	-258.8662940131561	-1551.0040791870895	2.1184926444471173	2.1184926444471217	2.5336822537911945	0.7647419332430542	1.0	1.0	2.0	0.0	-1551.0040791870895
112000	-1807.4920169345687	-257.139563930834	-1550.3524530037348	2.108503478062274	2.1085034780622904	2.232607453096496	0.5453544696173809	1.0	1.0	2.0	0.0	-1550.3524530037348
113000	-1809.7092451521848	-241.72101348768012	-1567.9882316645048	1.986236897326962	1.9862368973269582	1.6114383455045362	0.513535787623035	1.0	1.0	2.0	0.0	-1567.9882316645048
114000	-1806.4034880478487	-258.6748396838521	-1547.7286483639966	2.1291411730695415	2.1291411730695438	1.44577857789367	0.3753126957441141	1.0	1.0	2.0	0.0	-1547.7286483639966
115000	-1807.210979844992	-252.92876750455224	-1554.2822123404396	2.0800047315250225	2.0800047315250163	1.5875095555740455	0.42115839003636285	1.0	1.0	2.0	0.0	-1554.2822123404396
116000	-1806.2807785024088	-278.76371855755076	-1527.517059944858	2.308340384817632	2.3083403848176336	0.22173023232861094	0.05056111922897017	1.0	1.0	2.0	0.0	-1527.517059944858
117000	-1806.0670608429086	-269.8431009432723	-1536.2239598996364	2.2291830776966433	2.2291830776966495	0.7183661009009654	0.1908747088865824	1.0	1.0	2.0	0.0	-1536.2239598996364
118000	-1805.7994731882734	-262.897699008135	-1542.9017741801383	2.169783857492598	2.1697838574926065	0.8971693529661775	0.2390285881962143	1.0	1.0	2.0	0.0	-1542.9017741801383
119000	-1808.9914635984667	-240.1916860960343	-1568.7997775024323	1.9757987820441933	1.975798782044204	1.4314497144602798	0.42484398086102587	1.0	1.0	2.0	0.0	-1568.7997775024323
120000	-1809.2877356130641	-266.8142965624324	-1542.4734390506317	2.1847886515133985	2.1847886515134136	2.6303414916722985	0.6106149906499594	1.0	1.0	2.0	0.0	-1542.4734390506317
121000	-1807.8540903782668	-269.5333737056508	-1538.320716672616	2.2155923515929925	2.2155923515930054	1.8364439880788268	0.4040955997410922	1.0	1.0	2.0	0.0	-1538.320716672616
122000	-1808.0447802996748	-242.46263928436497	-1565.5821410153098	1.9956478712273193	1.9956478712273207	1.3594279254768615	0.3705882767769622	1.0	1.0	2.0	0.0	-1565.5821410153098
123000	-1806.8922733916263	-248.19354551175834	-1558.6987278798679	2.04892459981255	2.0489245998125343	0.7960786947891998	0.230704321213704	1.0	1.0	2.0	0.0	-1558.6987278798679
124000	-1805.7677875680072	-255.96218360202298	-1549.8056039659841	2.1203328608740235	2.1203328608740293	0.1393923760073466	0.0327024854830085	1.0	1.0	2.0	0.0	-1549.8056039659841
125000	-1806.8158351205593	-250.11090118471245	-1556.7049339358468	2.0584331790120003	2.058433179012004	1.4198680809254691	0.3759718253592376	1.0	1.0	2.0	0.0	-1556.7049339358468
126000	-1805.040366331014	-257.4451230213625	-1547.5952433096516	2.1303647375363677	2.1303647375363712	0.353021758133227	0.09060034709053952	1.0	1.0	2.0	0.0	-1547.5952433096516
127000	-1807.73241622117	-266.8722720079427	-1540.8601442132274	2.206781665008452	2.206781665008458	0.4973685875227528	0.1459346331085934	1.0	1.0	2.0	0.0	-1540.8601442132274
128000	-1808.231398974803	-246.97151851419977	-1561.2598804606032	2.0235743674448505	2.023574367444856	2.240461663327306	0.6257553099505365	1.0	1.0	2.0	0.0	-1561.2598804606032
129000	-1806.2427391198785	-273.321681025198	-1532.9210580946803	2.257289906858944	2.2572899068589476	0.7825684586080058	0.2115235316193021	1.0	1.0	2.0	0.0	-1532.9210580946803
130000	-1807.2269360833868	-264.516716366984	-1542.710219716403	2.182299737772746	2.182299737772762	0.9511160531969283	0.29279660874508856	1.0	1.0	2.0	0.0	-1542.710219716403
131000	-1811.9744949485857	-299.58491306692383	-1512.389581881662	2.472947062202692	2.4729470622026954	0.9378295139573019	0.2826490163776798	1.0	1.0	2.0	0.0	-1512.389581881662
132000	-1810.2744645197758	-272.0273762846236	-1538.2470882351522	2.219224511751265	2.2192245117512726	3.3281863654081625	0.9677851044136864	1.0	1.0	2.0	0.0	-1538.2470882351522
133000	-1806.2899862641066	-270.92347680776345	-1535.366509456343	2.2380143384365945	2.2380143384365923	0.7500244512667996	0.17326265903883598	1.0	1.0	2.0	0.0	-1535.366509456343
134000	-1806.6014842793736	-253.9970616366754	-1552.6044226426982	2.096726425108676	2.096726425108681	0.8294375169050056	0.2282052546163103	1.0	1.0	2.0	0.0	-1552.6044226426982
135000	-1807.8479662822092	-260.52278626619244	-1547.3251800160167	2.132333520742882	2.132333520742889	2.619087133005116	0.6644565722403375	1.0	1.0	2.0	0.0	-1547.3251800160167
136000	-1809.3400440209489	-273.339200928937	-1536.000843092012	2.242506648008668	2.242506648008677	2.1518727458158904	0.6447180735800718	1.0	1.0	2.0	0.0	-1536.000843092012
137000	-1808.7701042697895	-254.36537392446957	-1554.4047303453199	2.083269321858028	2.0832693218580283	2.491880286223801	0.5591581466502098	1.0	1.0	2.0	0.0	-1554.4047303453199
138000	-1806.2872234117394	-266.87378912817206	-1539.4134342835673	2.2043633275939447	2.2043633275939523	0.7365887652011197	0.2002403274243092	1.0	1.0	2.0	0.0	-1539.4134342835673
139000	-1805.25866500064	-252.78405568776708	-1552.4746093128729	2.0913474843511066	2.0913474843511097	0.39000114223316484	0.10419551338989413	1.0	1.0	2.0	0.0	-1552.4746093128729
140000	-1811.4462123226165	-260.41304939908326	-1551.0331629235332	2.1063756864669148	2.1063756864669188	4.949309058225158	1.3590867979693062	1.0	1.0	2.0	0.0	-1551.0331629235332
141000	-1807.3366437125117	-247.5162680969724	-1559.8203756155392	2.0381630680197533	2.0381630680197573	1.3398483650739705	0.3092812040430615	1.0	1.0	2.0	0.0	-1559.8203756155392
142000	-1808.7879541378925	-271.83934985340716	-1536.9486042844853	2.246527351206057	2.246527351206057	0.6119917047351621	0.19927307241381667	1.0	1.0	2.0	0.0	-1536.9486042844853
143000	-1809.6517296959928	-246.64749057762594	-1563.004239118367	2.019088135962194	2.0190881359621824	2.5332631428365957	0.5507208593841216	1.0	1.0	2.0	0.0	-1563.004239118367
144000	-1807.3855329804805	-248.97560664660818	-1558.4099263338724	2.0453035717217545	2.0453035717217607	1.809185325812548	0.4369532862707529	1.0	1.0	2.0	0.0	-1558.4099263338724
145000	-1808.318356136934	-249.9071293979236	-1558.4112267390103	2.0558432725380342	2.0558432725380364	1.5715095070592437	0.33332630322708756	1.0	1.0	2.0	0.0	-1558.4112267390103
146000	-1808.0211343518158	-285.19287100516954	-1522.8282633466463	2.3576834838786533	2.357683483878662	0.5803925468157622	0.1635947144812242	1.0	1.0	2.0	0.0	-1522.8282633466463
147000	-1809.5358448104032	-258.4954248952749	-1551.0404199151283	2.1182538568254237	2.1182538568254197	2.272910523246212	0.683479837318668	1.0	1.0	2.0	0.0	-1551.0404199151283
