extract_date,specimen_date,Number_tested,Number_confirmed,Number_hospitalized,Number_deaths
04/05/2020,03/28/2020,3313,2391,730,136
04/05/2020,03/29/2020,3649,2642,761,111
04/05/2020,03/30/2020,6248,4335,922,118
04/05/2020,03/31/2020,5337,3566,780,83
04/05/2020,04/01/2020,5547,3440,781,53
04/05/2020,04/02/2020,6203,3757,980,37
04/05/2020,04/03/2020,5216,3052,845,8
04/05/2020,04/04/2020,1065,648,213,1
04/05/2020,04/05/2020,16,7,0,0
04/06/2020,01/29/2020,1,0,0,0
04/06/2020,02/02/2020,2,0,0,0
04/06/2020,02/04/2020,1,0,0,0
04/06/2020,02/05/2020,1,0,0,0
04/06/2020,02/08/2020,1,0,0,0
04/06/2020,02/23/2020,1,1,1,0
04/06/2020,02/26/2020,1,0,0,0
04/06/2020,02/27/2020,2,0,0,1
04/06/2020,02/29/2020,3,1,0,0
04/06/2020,03/01/2020,1,0,0,0
04/06/2020,03/02/2020,3,0,0,0
04/06/2020,03/03/2020,9,0,0,0
04/06/2020,03/04/2020,35,5,4,1
04/06/2020,03/05/2020,54,3,1,0
04/06/2020,03/06/2020,39,7,2,0
04/06/2020,03/07/2020,40,7,5,1
04/06/2020,03/08/2020,95,20,14,2
04/06/2020,03/09/2020,259,57,23,8
04/06/2020,03/10/2020,386,67,31,3
04/06/2020,03/11/2020,705,153,50,15
04/06/2020,03/12/2020,1409,352,66,11
04/06/2020,03/13/2020,2061,609,159,26
04/06/2020,03/14/2020,1564,624,186,38
04/06/2020,03/15/2020,2258,1002,240,58
04/06/2020,03/16/2020,4598,2028,399,74
04/06/2020,03/17/2020,5265,2334,431,90
04/06/2020,03/18/2020,5870,2796,522,92
04/06/2020,03/19/2020,7161,3459,663,135
04/06/2020,03/20/2020,7050,3691,727,152
04/06/2020,03/21/2020,3423,2178,626,134
04/06/2020,03/22/2020,3119,2062,682,133
04/06/2020,03/23/2020,4863,3126,897,194
04/06/2020,03/24/2020,5333,3552,1032,224
04/06/2020,03/25/2020,5577,3850,1124,218
04/06/2020,03/26/2020,5737,4006,1242,229
04/06/2020,03/27/2020,5761,4067,1220,231
04/06/2020,03/28/2020,3692,2768,1053,204
04/06/2020,03/29/2020,3830,2812,1065,166
04/06/2020,03/30/2020,6449,4503,1259,216
04/06/2020,03/31/2020,5706,3801,1068,154
04/06/2020,04/01/2020,6396,3921,946,137
04/06/2020,04/02/2020,7707,4550,1122,114
04/06/2020,04/03/2020,6993,3981,1115,91
04/06/2020,04/04/2020,4128,2499,865,48
04/06/2020,04/05/2020,3259,1973,317,6
04/06/2020,04/06/2020,2097,1083,5,1
04/07/2020,01/29/2020,1,0,0,0
04/07/2020,02/02/2020,2,0,0,0
04/07/2020,02/04/2020,1,0,0,0
04/07/2020,02/05/2020,1,0,0,0
04/07/2020,02/08/2020,1,0,0,0
04/07/2020,02/23/2020,1,1,1,0
04/07/2020,02/26/2020,1,0,0,0
04/07/2020,02/27/2020,2,0,0,1
04/07/2020,02/29/2020,3,1,0,0
04/07/2020,03/01/2020,1,0,0,0
04/07/2020,03/02/2020,3,0,0,0
