name,Strain,gisaid_epi_isl,Collection Data,Region,Country,Admin Division,Region of exposure,Country of exposure,Division of exposure
hCoV-19/Nepal/61/2020|EPI_ISL_410301|2020-01-13|Asia,Nepal/61/2020,EPI_ISL_410301,2020-01-13,Asia,Asia,Asia,Asia,Asia,
hCoV-19/India/MH-1-27/2020|EPI_ISL_413522|2020-01-27|Asia,India/MH-1-27/2020,EPI_ISL_413522,2020-01-27,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Foshan/20SF210/2020|EPI_ISL_406535|2020-01-22|Asia,Foshan/20SF210/2020,EPI_ISL_406535,2020-01-22,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Australia/VIC14/2020|EPI_ISL_419734|2020-02-02|Oceania,Australia/VIC14/2020,EPI_ISL_419734,2020-02-02,Oceania,Oceania,Oceania,Oceania,Oceania,
hCoV-19/USA/WI1/2020|EPI_ISL_408670|2020-01-31|NorthAmerica,USA/WI1/2020,EPI_ISL_408670,2020-01-31,North America,USA,Wisconsin,Asia,Asia,Asia
hCoV-19/Singapore/11/2020|EPI_ISL_410719|2020-02-02|Asia,Singapore/11/2020,EPI_ISL_410719,2020-02-02,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Singapore/900/2020|EPI_ISL_536441|2020-02-05|Asia,Singapore/900/2020,EPI_ISL_536441,2020-02-05,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Sichuan/SC-NC-067/2020|EPI_ISL_451327|2020-02-01|Asia,Sichuan/SC-NC-067/2020,EPI_ISL_451327,2020-02-01,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Singapore/661/2020|EPI_ISL_493421|2020-02-07|Asia,Singapore/661/2020,EPI_ISL_493421,2020-02-07,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Thailand/61/2020|EPI_ISL_403962|2020-01-08|Asia,Thailand/61/2020,EPI_ISL_403962,2020-01-08,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Thailand/Nonthaburi_59/2020|EPI_ISL_447909|2020-01-13|Asia,Thailand/Nonthaburi_59/2020,EPI_ISL_447909,2020-01-13,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Vietnam/19-01S/2020|EPI_ISL_418269|2020-01-22|Asia,Vietnam/19-01S/2020,EPI_ISL_418269,2020-01-22,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Malaysia/MKAK-CL-2020-5047/2020|EPI_ISL_416866|2020-01-24|Asia,Malaysia/MKAK-CL-2020-5047/2020,EPI_ISL_416866,2020-01-24,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Cambodia/0012/2020|EPI_ISL_411902|2020-01-27|Asia,Cambodia/0012/2020,EPI_ISL_411902,2020-01-27,Asia,Asia,Asia,Asia,Asia,
hCoV-19/France/IDF-0626/2020|EPI_ISL_408431|2020-01-29|Europe,France/IDF-0626/2020,EPI_ISL_408431,2020-01-29,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Taiwan/CGMH-CGU-01/2020|EPI_ISL_411915|2020-01-25|Asia,Taiwan/CGMH-CGU-01/2020,EPI_ISL_411915,2020-01-25,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Thailand/SI200433-NT/2020|EPI_ISL_437621|2020-01-25|Asia,Thailand/SI200433-NT/2020,EPI_ISL_437621,2020-01-25,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Finland/1/2020|EPI_ISL_407079|2020-01-29|Europe,Finland/1/2020,EPI_ISL_407079,2020-01-29,Europe,Europe,Europe,Asia,Asia,Asia
hCoV-19/Japan/OS-20-07-1/2020|EPI_ISL_410532|2020-01-23|Asia,Japan/OS-20-07-1/2020,EPI_ISL_410532,2020-01-23,Asia,Asia,Asia,Asia,Asia,
hCoV-19/USA/IL1/2020|EPI_ISL_404253|2020-01-21|NorthAmerica,USA/IL1/2020,EPI_ISL_404253,2020-01-21,North America,USA,Illinois,Asia,Asia,Asia
hCoV-19/Hangzhou/HZCDC0049L/2020|EPI_ISL_421231|2020-01-21|Asia,Hangzhou/HZCDC0049L/2020,EPI_ISL_421231,2020-01-21,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Ecuador/HEE-01/2020|EPI_ISL_417482|2020-03-09|SouthAmerica,Ecuador/HEE-01/2020,EPI_ISL_417482,2020-03-09,South America,South America,South America,South America,South America,
hCoV-19/Netherlands/NA_666/2020|EPI_ISL_461101|2020-02-29|Europe,Netherlands/NA_666/2020,EPI_ISL_461101,2020-02-29,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Slovakia/SK-BMC6/2020|EPI_ISL_417880|2020-03-08|Europe,Slovakia/SK-BMC6/2020,EPI_ISL_417880,2020-03-08,Europe,Europe,Europe,Europe,Europe,
hCoV-19/USA/CA-CDC-6/2020|EPI_ISL_410044|2020-01-27|NorthAmerica,USA/CA-CDC-6/2020,EPI_ISL_410044,2020-01-27,North America,USA,California,Asia,Asia,Asia
hCoV-19/Taiwan/4/2020|EPI_ISL_411927|2020-01-28|Asia,Taiwan/4/2020,EPI_ISL_411927,2020-01-28,Asia,Asia,Asia,Asia,Asia,
hCoV-19/USA/CA-SCCPHD-UC108/2020|EPI_ISL_435587|2020-02-29|NorthAmerica,USA/CA-SCCPHD-UC108/2020,EPI_ISL_435587,2020-02-29,North America,USA,California,North America,USA,
hCoV-19/USA/CA-SCCPHD-UC102/2020|EPI_ISL_435581|2020-02-28|NorthAmerica,USA/CA-SCCPHD-UC102/2020,EPI_ISL_435581,2020-02-28,North America,USA,California,North America,USA,
hCoV-19/Poland/PL_P1/2020|EPI_ISL_416488|2020-03-03|Europe,Poland/PL_P1/2020,EPI_ISL_416488,2020-03-03,Europe,Europe,Europe,Europe,Europe,
hCoV-19/USA/NE_6605/2020|EPI_ISL_424874|2020-03-05|NorthAmerica,USA/NE_6605/2020,EPI_ISL_424874,2020-03-05,North America,USA,Nebraska,North America,USA,
hCoV-19/USA/NE_7025/2020|EPI_ISL_424875|2020-03-07|NorthAmerica,USA/NE_7025/2020,EPI_ISL_424875,2020-03-07,North America,USA,Nebraska,North America,USA,
hCoV-19/Sweden/20-08840/2020|EPI_ISL_475557|2020-04-11|Europe,Sweden/20-08840/2020,EPI_ISL_475557,2020-04-11,Europe,Europe,Europe,Europe,Europe,
hCoV-19/USA/NH-QDX-617/2020|EPI_ISL_571388|2020-03-17|NorthAmerica,USA/NH-QDX-617/2020,EPI_ISL_571388,2020-03-17,North America,USA,New Hampshire,North America,USA,
hCoV-19/Finland/14M74/2020|EPI_ISL_418409|2020-03-14|Europe,Finland/14M74/2020,EPI_ISL_418409,2020-03-14,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Croatia/1761_Dubrovnik/2020|EPI_ISL_454588|2020-03-20|Europe,Croatia/1761_Dubrovnik/2020,EPI_ISL_454588,2020-03-20,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Sweden/20-08158/2020|EPI_ISL_455843|2020-03-10|Europe,Sweden/20-08158/2020,EPI_ISL_455843,2020-03-10,Europe,Europe,Europe,Europe,Europe,
hCoV-19/USA/ME-HETL-J0059/2020|EPI_ISL_513470|2020-03-16|NorthAmerica,USA/ME-HETL-J0059/2020,EPI_ISL_513470,2020-03-16,North America,USA,Maine,North America,USA,
hCoV-19/Austria/CeMM0002/2020|EPI_ISL_419655|2020-02-26|Europe,Austria/CeMM0002/2020,EPI_ISL_419655,2020-02-26,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Germany/NW-HHU-06/2020|EPI_ISL_414505|2020-02-27|Europe,Germany/NW-HHU-06/2020,EPI_ISL_414505,2020-02-27,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Brazil/SP-11/2020|EPI_ISL_416033|2020-03-03|SouthAmerica,Brazil/SP-11/2020,EPI_ISL_416033,2020-03-03,South America,South America,South America,Europe,Europe,Europe
hCoV-19/Germany/NW-HHU-02-1/2020|EPI_ISL_414497|2020-02-25|Europe,Germany/NW-HHU-02-1/2020,EPI_ISL_414497,2020-02-25,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Greece/149/2020|EPI_ISL_434471|2020-03-11|Europe,Greece/149/2020,EPI_ISL_434471,2020-03-11,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Greece/149_32357/2020|EPI_ISL_447635|2020-03-12|Europe,Greece/149_32357/2020,EPI_ISL_447635,2020-03-12,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Senegal/306/2020|EPI_ISL_420069|2020-03-17|Africa,Senegal/306/2020,EPI_ISL_420069,2020-03-17,Africa,Africa,Africa,Africa,Africa,
hCoV-19/HongKong/HKU-200723-051/2020|EPI_ISL_497818|2020-04-01|Asia,HongKong/HKU-200723-051/2020,EPI_ISL_497818,2020-04-01,Asia,Asia,Asia,Asia,Asia,
hCoV-19/USA/CA-CDPH-UC3/2020|EPI_ISL_413559|2020-02-27|NorthAmerica,USA/CA-CDPH-UC3/2020,EPI_ISL_413559,2020-02-27,North America,USA,California,North America,USA,
hCoV-19/USA/CA-CDPH016/2020|EPI_ISL_515909|2020-02-28|NorthAmerica,USA/CA-CDPH016/2020,EPI_ISL_515909,2020-02-28,North America,USA,California,North America,USA,
hCoV-19/USA/CA-CDC-9/2020|EPI_ISL_412862|2020-02-23|NorthAmerica,USA/CA-CDC-9/2020,EPI_ISL_412862,2020-02-23,North America,USA,California,North America,USA,
hCoV-19/Curacao/CW-RIVM-10093/2020|EPI_ISL_547451|2020-03-10|SouthAmerica,Curacao/CW-RIVM-10093/2020,EPI_ISL_547451,2020-03-10,South America,South America,South America,South America,South America,
hCoV-19/Curacao/CW-RIVM-10092/2020|EPI_ISL_547450|2020-03-10|SouthAmerica,Curacao/CW-RIVM-10092/2020,EPI_ISL_547450,2020-03-10,South America,South America,South America,South America,South America,
hCoV-19/Curacao/CW-RIVM-10094/2020|EPI_ISL_547452|2020-03-10|SouthAmerica,Curacao/CW-RIVM-10094/2020,EPI_ISL_547452,2020-03-10,South America,South America,South America,South America,South America,
hCoV-19/Sichuan/SC-WCH3-259/2020|EPI_ISL_451385|2020-02-03|Asia,Sichuan/SC-WCH3-259/2020,EPI_ISL_451385,2020-02-03,Asia,Asia,Asia,Asia,Asia,
hCoV-19/SouthKorea/KCDC2005/2020|EPI_ISL_426166|2020-02-04|Asia,SouthKorea/KCDC2005/2020,EPI_ISL_426166,2020-02-04,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Sichuan/SC-WCH4-286/2020|EPI_ISL_451388|2020-02-10|Asia,Sichuan/SC-WCH4-286/2020,EPI_ISL_451388,2020-02-10,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Taiwan/TSGH-35/2020|EPI_ISL_457726|2020-02-06|Asia,Taiwan/TSGH-35/2020,EPI_ISL_457726,2020-02-06,Asia,Asia,Asia,Asia,Asia,
hCoV-19/USA/CA-SCCPHD-UC106/2020|EPI_ISL_435585|2020-02-29|NorthAmerica,USA/CA-SCCPHD-UC106/2020,EPI_ISL_435585,2020-02-29,North America,USA,California,North America,USA,
hCoV-19/USA/NV-NSPHL-A0026/2020|EPI_ISL_515313|2020-03-19|NorthAmerica,USA/NV-NSPHL-A0026/2020,EPI_ISL_515313,2020-03-19,North America,USA,Nevada,North America,USA,
hCoV-19/Mexico/JAL-InDRE-16/2020|EPI_ISL_455454|2020-03-18|NorthAmerica,Mexico/JAL-InDRE-16/2020,EPI_ISL_455454,2020-03-18,North America,Mexico,Jalisco,North America,Mexico,
hCoV-19/USA/CA-SCCPHD-UC103/2020|EPI_ISL_435582|2020-02-28|NorthAmerica,USA/CA-SCCPHD-UC103/2020,EPI_ISL_435582,2020-02-28,North America,USA,California,North America,USA,
hCoV-19/USA/DE-DHSS-F917779/2020|EPI_ISL_560406|2020-03-24|NorthAmerica,USA/DE-DHSS-F917779/2020,EPI_ISL_560406,2020-03-24,North America,USA,Delaware,North America,USA,
hCoV-19/USA/WI-UW-283/2020|EPI_ISL_436577|2020-04-06|NorthAmerica,USA/WI-UW-283/2020,EPI_ISL_436577,2020-04-06,North America,USA,Wisconsin,North America,USA,
hCoV-19/USA/CA-SCCPHD-UC14/2020|EPI_ISL_417318|2020-02-29|NorthAmerica,USA/CA-SCCPHD-UC14/2020,EPI_ISL_417318,2020-02-29,North America,USA,California,North America,USA,
hCoV-19/USA/WI-WSLH-200237/2020|EPI_ISL_578457|2020-04-14|NorthAmerica,USA/WI-WSLH-200237/2020,EPI_ISL_578457,2020-04-14,North America,USA,Wisconsin,North America,USA,
hCoV-19/USA/WI-WSLH-200229/2020|EPI_ISL_578449|2020-04-13|NorthAmerica,USA/WI-WSLH-200229/2020,EPI_ISL_578449,2020-04-13,North America,USA,Wisconsin,North America,USA,
hCoV-19/USA/WI-UW-221/2020|EPI_ISL_428317|2020-03-25|NorthAmerica,USA/WI-UW-221/2020,EPI_ISL_428317,2020-03-25,North America,USA,Wisconsin,North America,USA,
hCoV-19/USA/WI-WSLH-200228/2020|EPI_ISL_578448|2020-04-13|NorthAmerica,USA/WI-WSLH-200228/2020,EPI_ISL_578448,2020-04-13,North America,USA,Wisconsin,North America,USA,
hCoV-19/Mexico/JAL-InDRE-11/2020|EPI_ISL_455435|2020-03-20|NorthAmerica,Mexico/JAL-InDRE-11/2020,EPI_ISL_455435,2020-03-20,North America,Mexico,Jalisco,North America,Mexico,Guadalajara
hCoV-19/USA/IL-NM084/2020|EPI_ISL_444575|2020-03-19|NorthAmerica,USA/IL-NM084/2020,EPI_ISL_444575,2020-03-19,North America,USA,Illinois,North America,USA,
hCoV-19/Pakistan/KHI1/2020|EPI_ISL_451958|2020-03-16|Asia,Pakistan/KHI1/2020,EPI_ISL_451958,2020-03-16,Asia,Asia,Asia,Asia,Asia,
hCoV-19/USA/NV-QDX-543/2020|EPI_ISL_571395|2020-03-18|NorthAmerica,USA/NV-QDX-543/2020,EPI_ISL_571395,2020-03-18,North America,USA,Nevada,North America,USA,
hCoV-19/Lithuania/MR-LUHS-Eilnr12/2020|EPI_ISL_541849|2020-04-05|Europe,Lithuania/MR-LUHS-Eilnr12/2020,EPI_ISL_541849,2020-04-05,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Lithuania/MR-LUHS-Eilnr51/2020|EPI_ISL_541863|2020-04-08|Europe,Lithuania/MR-LUHS-Eilnr51/2020,EPI_ISL_541863,2020-04-08,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Malaysia/IMR_WC1098/2020|EPI_ISL_430442|2020-02-29|Asia,Malaysia/IMR_WC1098/2020,EPI_ISL_430442,2020-02-29,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Malaysia/IMR_WC1097/2020|EPI_ISL_430441|2020-02-29|Asia,Malaysia/IMR_WC1097/2020,EPI_ISL_430441,2020-02-29,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Ireland/CO-NVRL-20134/2020|EPI_ISL_414487|2020-03-04|Europe,Ireland/CO-NVRL-20134/2020,EPI_ISL_414487,2020-03-04,Europe,Europe,Europe,Europe,Europe,
hCoV-19/SouthAfrica/R02827/2020|EPI_ISL_430297|2020-03-06|Africa,SouthAfrica/R02827/2020,EPI_ISL_430297,2020-03-06,Africa,Africa,Africa,Africa,Africa,
hCoV-19/USA/CA-CZB-1058/2020|EPI_ISL_437058|2020-04-06|NorthAmerica,USA/CA-CZB-1058/2020,EPI_ISL_437058,2020-04-06,North America,USA,California,North America,USA,
hCoV-19/USA/OK-QDX-93/2020|EPI_ISL_468589|2020-03-13|NorthAmerica,USA/OK-QDX-93/2020,EPI_ISL_468589,2020-03-13,North America,USA,Oklahoma,North America,USA,
hCoV-19/Indonesia/JK-EIJK-03/2020|EPI_ISL_437191|2020-03-27|Asia,Indonesia/JK-EIJK-03/2020,EPI_ISL_437191,2020-03-27,Asia,Asia,Asia,Asia,Asia,
hCoV-19/USA/WV-QDX-1284/2020|EPI_ISL_572053|2020-03-17|NorthAmerica,USA/WV-QDX-1284/2020,EPI_ISL_572053,2020-03-17,North America,USA,West Virginia,North America,USA,
hCoV-19/Wuhan/HB-WH4-214/2020|EPI_ISL_454963|2020-03-20|Asia,Wuhan/HB-WH4-214/2020,EPI_ISL_454963,2020-03-20,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Indonesia/JI-ITD-150Sp/2020|EPI_ISL_529962|2020-03-16|Asia,Indonesia/JI-ITD-150Sp/2020,EPI_ISL_529962,2020-03-16,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Canada/NB-204/2020|EPI_ISL_479626|2020-03-29|NorthAmerica,Canada/NB-204/2020,EPI_ISL_479626,2020-03-29,North America,Canada,New Brunswick,North America,Canada,
hCoV-19/Indonesia/JK-EIJK-07/2020|EPI_ISL_467376|2020-04-24|Asia,Indonesia/JK-EIJK-07/2020,EPI_ISL_467376,2020-04-24,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Indonesia/PP-EIJK-11/2020|EPI_ISL_568693|2020-03-28|Asia,Indonesia/PP-EIJK-11/2020,EPI_ISL_568693,2020-03-28,Asia,Asia,Asia,Asia,Asia,
hCoV-19/USA/TX-HMH-497/2020|EPI_ISL_544434|2020-04-07|NorthAmerica,USA/TX-HMH-497/2020,EPI_ISL_544434,2020-04-07,North America,USA,Texas,North America,USA,
hCoV-19/Pakistan/Gilgit1/2020|EPI_ISL_417444|2020-03-04|Asia,Pakistan/Gilgit1/2020,EPI_ISL_417444,2020-03-04,Asia,Asia,Asia,Asia,Asia,
hCoV-19/USA/WY-WYPHL-00089/2020|EPI_ISL_462980|2020-03-30|NorthAmerica,USA/WY-WYPHL-00089/2020,EPI_ISL_462980,2020-03-30,North America,USA,Wyoming,North America,USA,
hCoV-19/Taiwan/CGMH-CGU-03/2020|EPI_ISL_415741|2020-02-26|Asia,Taiwan/CGMH-CGU-03/2020,EPI_ISL_415741,2020-02-26,Asia,Asia,Asia,Asia,Asia,
hCoV-19/SriLanka/COV38/2020|EPI_ISL_428670|2020-03-16|Asia,SriLanka/COV38/2020,EPI_ISL_428670,2020-03-16,Asia,Asia,Asia,Asia,Asia,
hCoV-19/SriLanka/CDR142/2020|EPI_ISL_525474|2020-04-19|Asia,SriLanka/CDR142/2020,EPI_ISL_525474,2020-04-19,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Canada/BC_69243/2020|EPI_ISL_415577|2020-02-20|NorthAmerica,Canada/BC_69243/2020,EPI_ISL_415577,2020-02-20,North America,Canada,British Columbia,Asia,Asia,Asia
hCoV-19/Canada/BC_17397/2020|EPI_ISL_415580|2020-02-28|NorthAmerica,Canada/BC_17397/2020,EPI_ISL_415580,2020-02-28,North America,Canada,British Columbia,Asia,Asia,Asia
hCoV-19/Canada/BC_13297/2020|EPI_ISL_415578|2020-02-27|NorthAmerica,Canada/BC_13297/2020,EPI_ISL_415578,2020-02-27,North America,Canada,British Columbia,Asia,Asia,Asia
hCoV-19/USA/CA-UCLA-260/2020|EPI_ISL_537558|2020-02-28|NorthAmerica,USA/CA-UCLA-260/2020,EPI_ISL_537558,2020-02-28,North America,USA,California,North America,USA,
hCoV-19/Oman/RESP-20-2181/2020|EPI_ISL_457939|2020-03-17|Asia,Oman/RESP-20-2181/2020,EPI_ISL_457939,2020-03-17,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Sweden/20-04736/2020|EPI_ISL_475544|2020-02-26|Europe,Sweden/20-04736/2020,EPI_ISL_475544,2020-02-26,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Sweden/20-04850/2020|EPI_ISL_475545|2020-02-28|Europe,Sweden/20-04850/2020,EPI_ISL_475545,2020-02-28,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Sweden/20-04851/2020|EPI_ISL_475546|2020-02-28|Europe,Sweden/20-04851/2020,EPI_ISL_475546,2020-02-28,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Iran/KHGRC-3-2178/2020|EPI_ISL_445088|2020-03-26|Asia,Iran/KHGRC-3-2178/2020,EPI_ISL_445088,2020-03-26,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Iran/KHGRC-2-2162/2020|EPI_ISL_442044|2020-03-26|Asia,Iran/KHGRC-2-2162/2020,EPI_ISL_442044,2020-03-26,Asia,Asia,Asia,Asia,Asia,
hCoV-19/USA/NY1-PV08001/2020|EPI_ISL_414476|2020-02-29|NorthAmerica,USA/NY1-PV08001/2020,EPI_ISL_414476,2020-02-29,North America,USA,New York,Asia,Asia,Asia
hCoV-19/England/20099072204/2020|EPI_ISL_464223|2020-02-28|Europe,England/20099072204/2020,EPI_ISL_464223,2020-02-28,Europe,Europe,Europe,Europe,Europe,
hCoV-19/England/20099089504/2020|EPI_ISL_464228|2020-02-28|Europe,England/20099089504/2020,EPI_ISL_464228,2020-02-28,Europe,Europe,Europe,Europe,Europe,
hCoV-19/England/20100007104/2020|EPI_ISL_464254|2020-02-29|Europe,England/20100007104/2020,EPI_ISL_464254,2020-02-29,Europe,Europe,Europe,Europe,Europe,
hCoV-19/Canada/BC_37_0-2/2020|EPI_ISL_412965|2020-02-16|NorthAmerica,Canada/BC_37_0-2/2020,EPI_ISL_412965,2020-02-16,North America,Canada,British Columbia,Asia,Asia,Asia
hCoV-19/Canada/BC_5282984/2020|EPI_ISL_418832|2020-03-11|NorthAmerica,Canada/BC_5282984/2020,EPI_ISL_418832,2020-03-11,North America,Canada,British Columbia,North America,Canada,
hCoV-19/Tunisia/COV0880/2020|EPI_ISL_463002|2020-03-28|Africa,Tunisia/COV0880/2020,EPI_ISL_463002,2020-03-28,Africa,Africa,Africa,Africa,Africa,
hCoV-19/Turkey/HSGM-1492/2020|EPI_ISL_437320|2020-03-19|Europe,Turkey/HSGM-1492/2020,EPI_ISL_437320,2020-03-19,Europe,Europe,Europe,Europe,Europe,
hCoV-19/HongKong/HKU-200723-041/2020|EPI_ISL_497808|2020-03-22|Asia,HongKong/HKU-200723-041/2020,EPI_ISL_497808,2020-03-22,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Turkey/GLAB-CoV189/2020|EPI_ISL_480276|2020-05-05|Europe,Turkey/GLAB-CoV189/2020,EPI_ISL_480276,2020-05-05,Europe,Europe,Europe,Europe,Europe,
hCoV-19/SouthKorea/KCDC2658/2020|EPI_ISL_522441|2020-05-05|Asia,SouthKorea/KCDC2658/2020,EPI_ISL_522441,2020-05-05,Asia,Asia,Asia,Asia,Asia,
hCoV-19/HongKong/HKU-903a/2020|EPI_ISL_434565|2020-01-24|Asia,HongKong/HKU-903a/2020,EPI_ISL_434565,2020-01-24,Asia,Asia,Asia,Asia,Asia,
hCoV-19/HongKong/HKU-905a/2020|EPI_ISL_450408|2020-01-24|Asia,HongKong/HKU-905a/2020,EPI_ISL_450408,2020-01-24,Asia,Asia,Asia,Asia,Asia,
hCoV-19/UnitedArabEmirates/L4682/2020|EPI_ISL_435135|2020-02-25|Asia,UnitedArabEmirates/L4682/2020,EPI_ISL_435135,2020-02-25,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Bahrein/BAH-26/2020|EPI_ISL_483640|2020-04-06|Asia,Bahrein/BAH-26/2020,EPI_ISL_483640,2020-04-06,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Bahrein/BAH-19/2020|EPI_ISL_483560|2020-04-08|Asia,Bahrein/BAH-19/2020,EPI_ISL_483560,2020-04-08,Asia,Asia,Asia,Asia,Asia,
hCoV-19/HongKong/HKU-903b/2020|EPI_ISL_434566|2020-01-27|Asia,HongKong/HKU-903b/2020,EPI_ISL_434566,2020-01-27,Asia,Asia,Asia,Asia,Asia,
hCoV-19/UnitedArabEmirates/L6627/2020|EPI_ISL_435139|2020-02-25|Asia,UnitedArabEmirates/L6627/2020,EPI_ISL_435139,2020-02-25,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Kuwait/KU17/2020|EPI_ISL_416542|2020-03-02|Asia,Kuwait/KU17/2020,EPI_ISL_416542,2020-03-02,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Thailand/Bangkok-0078/2020|EPI_ISL_447019|2020-04-01|Asia,Thailand/Bangkok-0078/2020,EPI_ISL_447019,2020-04-01,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Thailand/Bangkok-0084/2020|EPI_ISL_447025|2020-04-02|Asia,Thailand/Bangkok-0084/2020,EPI_ISL_447025,2020-04-02,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Georgia/Tb-7851/2020|EPI_ISL_477169|2020-05-01|Asia,Georgia/Tb-7851/2020,EPI_ISL_477169,2020-05-01,Asia,Asia,Asia,Asia,Asia,
hCoV-19/UnitedArabEmirates/L2409/2020|EPI_ISL_435131|2020-02-25|Asia,UnitedArabEmirates/L2409/2020,EPI_ISL_435131,2020-02-25,Asia,Asia,Asia,Asia,Asia,
